Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Kindama/Kindama
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Kindama/Kibaza
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Kindama/Kamweru
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Kindama/Kagasera
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Kindama/Gatovu
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Kindama/Gatare
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gikundamvura/Rusenyi
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gikundamvura/Rukurazo
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gikundamvura/Kiyovu
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gikundamvura/Kazabagarura
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gikundamvura/Kanombe
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gikundamvura/Gikundamvura
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gatanga/Rwanika
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gatanga/Nyakagarama
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gatanga/Nyaburiba
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gatanga/Kibaza
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gatanga/Kayigi
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Gatanga/Butereri
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Rwanzunga
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Rugarama
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Nyagafunzo
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Mukoma
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Masenga Ii
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Masenga I
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Busasamana
Rwanda/EASTERN PROVINCE/Bugesera/Ruhuha/Bihari/Bihari
Rwanda/EASTERN PROVINCE/Bugesera/Rilima/Nyabagendwa/Rwibikara
Rwanda/EASTERN PROVINCE/Bugesera/Rilima/Nyabagendwa/Nyamizi
Rwanda/EASTERN PROVINCE/Bugesera/Rilima/Nyabagendwa/Nyabagendwa
Rwanda/EASTERN PROVINCE/Bugesera/Rilima/Nyabagendwa/Murambi
